Time slot,DQNAgent,DoubleDQN,DuelingDQN
1,448.1448261,452.0240952,452.0240952
2,492.1851885,493.0246181,490.0024488
3,524.2950351,522.7085226,510.7468016
4,476.111771,484.0619957,483.7840389
5,514.6887821,513.9622212,501.8467763
6,496.4032003,495.0097826,494.4575433
7,505.92565,496.1841443,492.9496865
8,512.1233989,512.2179052,517.415247
9,517.1756291,507.6768319,522.5839551
10,445.348858,437.1913212,450.1516477
11,472.1105839,461.7516951,474.9044461
12,513.7444299,501.6199172,515.3087078
13,510.6563977,499.9307085,516.2109862
14,491.8118606,484.5956488,478.9369495
15,490.4064325,481.8068609,496.1380225
16,491.2790642,484.9485527,481.3985416
17,491.5684711,488.0084026,482.7075382
18,458.2447087,449.620098,460.0384322
19,467.0769552,461.8992066,445.0316013
20,514.5329035,504.1358735,493.2210294
21,469.0362454,463.7273796,464.1820775
22,495.265206,489.4405541,499.9898494
23,503.9079655,508.1306519,499.3403178
24,486.4303962,475.1335845,463.7894827
25,494.5068768,489.3332688,487.1799688
26,460.9771967,460.1150597,471.8649898
27,507.4746825,502.1890907,507.2347058
28,424.8354565,424.1835051,413.1736588
29,505.3674313,499.9629242,496.8403286
30,475.1659403,485.722384,492.771655
31,478.1530592,472.308314,464.8897162
32,507.3971917,498.8396854,459.8325471
33,428.2276664,418.0955973,427.9848314
34,457.2910456,450.637665,459.2689364
35,436.432472,444.4588502,455.0537057
36,521.4759007,510.5821337,521.2540669
37,529.3930379,519.4918734,477.6578786
38,462.555227,455.7646308,459.3726181
39,491.3011125,480.8247562,479.2859639
40,497.0101589,485.8614744,477.8514682
41,470.5052769,472.7972383,493.3881852
42,466.4908498,471.4762391,491.9982565
43,469.4444554,471.8387299,480.4854116
44,477.8599607,463.7434306,472.3682179
45,495.4636593,497.9181523,493.5864223
46,521.4354763,512.3093448,477.1369351
47,522.3045515,506.9354849,471.5753051
48,512.6165314,489.2085433,485.4521358
49,529.8901536,495.1156987,469.21565
50,476.9038754,479.3676348,486.8476745
51,442.9440571,439.5655518,438.2363758
52,474.4068379,472.0417788,469.3759473
53,476.072777,436.5832936,457.3894173
54,483.6139872,471.4566127,466.8706819
55,536.8641435,491.7138468,493.8099409
56,537.5001175,496.2951317,479.0146012
57,484.4708329,472.8589524,480.0684297
58,453.4382223,441.8864015,458.2751633
59,428.8785452,417.0775624,408.6638022
60,513.980572,473.2302018,474.1359295
61,516.4163604,473.1220485,444.895499
62,453.0871359,454.9955259,456.6829434
63,519.0444473,470.9007258,473.4786523
64,516.3978206,473.7828826,499.1495608
65,514.415924,471.1094147,451.4975886
66,462.1155988,420.5940764,424.6026828
67,486.4206344,484.7791963,488.7183729
68,396.0421914,393.2550304,420.4079529
69,495.40789,450.4495699,440.2337773
70,460.3985975,460.6368598,472.5280704
71,525.731827,476.8627956,455.8087378
72,437.9540019,429.2073763,438.4064487
73,447.6240238,440.737935,463.5513153
74,475.111444,461.2979522,468.2999064
75,463.732084,466.8392916,492.7382667
76,507.7323071,457.1215688,450.2803871
77,502.8274325,458.0823737,476.5721347
78,459.7552907,463.7295029,489.4293128
79,470.5704793,463.6103517,461.2853779
80,442.8845169,411.5022662,430.8945151
81,476.8040978,450.0526504,449.8482857
82,513.5945827,468.3847001,460.8686461
83,518.669279,477.8386997,478.5088871
84,411.9126054,420.2210129,436.0283073
85,442.1415249,439.1567297,437.9176917
86,476.5528558,470.4567076,466.8142021
87,454.2762185,430.24968,445.9249755
88,444.0145045,454.7634132,467.5690278
89,475.7202388,469.8103879,468.2519392
90,504.8936065,465.4171333,453.9463429
91,472.8213166,463.3148443,466.0200964
92,463.5238691,431.0265798,429.9946307
93,502.1936168,458.4496803,457.8096909
94,467.7859272,441.3782469,440.6429454
95,473.8131328,463.3386738,460.1217757
96,468.236669,428.7418724,458.8611396
97,459.8615402,442.7640556,444.3966392
98,424.5169375,402.0470692,405.8769854
99,519.2163408,470.2995621,462.4964603
100,422.8207869,385.8493411,407.6137011
101,486.096324,440.7366468,436.6259546
102,467.9957577,475.2017087,473.3948848
103,526.6571359,474.6025192,465.5554518
104,438.5076251,445.7031944,451.4556373
105,452.8246086,446.8129161,443.673192
106,441.4570927,430.6688019,448.1097073
107,490.4464527,439.9545552,454.1613766
108,440.3163822,431.4462981,452.7748494
109,474.6087081,469.7021467,466.339294
110,442.8298432,437.9486089,443.8907573
111,431.5027045,439.4451631,432.8306811
112,422.610116,386.8436024,397.4406647
113,468.1443737,447.8284347,454.1302706
114,412.2190573,398.5927741,398.7196495
115,469.2282908,421.3323073,425.020914
116,492.9286425,439.0853844,444.1664318
117,485.7470471,451.3765294,446.6401294
118,459.8681951,428.963867,440.6993785
119,401.480906,385.1638326,392.7498328
120,470.069748,453.2238082,467.9617215
121,492.6592424,444.83,451.5683308
122,457.8429763,426.3846621,444.0672428
123,428.4687656,416.5991028,436.5753791
124,468.3905522,419.1891708,417.6723451
125,430.8577798,411.8143191,407.517429
126,461.8840348,442.5733986,463.8688632
127,431.3565927,420.6277456,417.8221481
128,432.9720184,435.3022646,430.7902717
129,427.5573354,399.2846688,397.3872839
130,481.8664958,434.9685702,450.14721
131,468.2032613,459.7553164,452.3250661
132,453.5120532,456.2087853,446.2385453
133,458.6712588,443.7085707,441.8777455
134,425.1922149,405.075128,433.0345569
135,461.1801546,426.4710736,434.2821614
136,454.5350405,448.2148957,460.4645743
137,475.0774153,445.9806165,434.2658795
138,464.0890947,422.5823457,474.986492
139,482.8300747,429.9083909,436.7549957
140,520.3838979,456.6125308,461.9059575
141,464.7376017,424.0006062,471.139462
142,458.4327745,401.769653,413.9264081
143,492.7342741,455.9489608,444.132128
144,475.6661152,414.9533777,420.0719684
145,463.5583781,462.5699324,455.3440137
146,449.7972565,445.076607,427.3362681
147,465.7802821,402.0162031,415.8502527
148,491.5136676,426.6278347,442.336568
149,404.8286924,410.1410873,395.0312902
150,464.2230092,466.4615534,455.2852896
151,445.3570757,414.575997,419.9475266
152,480.3369971,417.3881519,431.8400212
153,491.4800831,440.8860845,438.0928287
154,491.1051533,417.8234788,439.7679114
155,419.2900486,389.4700803,422.1710687
156,499.0121725,446.2592327,457.7098248
157,516.9427141,444.5734613,466.3037342
158,425.5234819,382.3094531,417.8918942
159,458.1404131,382.7575478,427.5276657
160,508.7613507,435.3177342,453.246938
161,464.709307,440.7922423,448.0869649
162,428.1505005,430.7700835,408.2713985
163,451.1800639,456.5504925,426.3175927
164,525.128626,447.4445398,468.4082433
165,529.2111053,450.9173703,466.6903846
166,464.9044424,411.8126384,473.5303764
167,519.7766881,447.0177714,464.796037
168,518.5113565,446.5760576,463.8255155
169,486.7253,415.0617591,465.5793229
170,475.6894623,412.3705547,426.8391454
171,500.8513439,428.0858426,441.5856736
172,513.74984,440.3758553,457.0508036
173,425.5410832,384.8768794,422.5925471
174,458.9664553,436.8580296,408.5954819
175,457.0981601,430.6299771,403.4610775
176,452.8418009,398.1980831,452.9977546
177,476.4313967,418.4803263,435.1537222
178,516.4351852,445.9716283,462.8523669
179,485.6218605,418.816379,435.9593104
180,442.4070771,402.0168366,414.891221
181,438.491989,413.1533103,440.0232445
182,419.4368004,378.0531182,428.2682906
183,444.4061295,417.4302677,438.5939146
184,466.4191947,427.7006339,458.9600375
185,515.9270178,448.9522462,463.0328941
186,512.0054647,447.5448953,465.547701
187,420.6217642,370.08529,380.8640102
188,476.0492778,433.2966826,429.5239152
189,470.4950042,419.0161776,424.476907
190,431.0833509,404.810915,416.9401403
191,507.5181422,450.5770104,460.4049625
192,441.8078158,402.8606705,411.7741951
193,438.7200289,392.42121,404.8819984
194,471.7233873,417.7554612,427.0703551
195,413.9440341,372.0034049,404.0407459
196,479.2427225,428.5522173,436.501929
197,457.8656234,427.0049285,415.7648685
198,507.1476761,448.8507684,452.9419481
199,433.8205741,409.5802387,411.2927577
200,485.7471144,436.0940157,442.210787
201,403.754196,384.8207193,412.812293
202,451.6076835,384.2993061,454.4238581
203,409.5631585,387.659141,399.3141084
204,502.1728967,445.7463684,454.6591341
205,503.4538595,446.496866,455.3423536
206,422.660639,389.7311002,393.1169698
207,426.3185188,379.9577289,429.5271767
208,494.0810443,434.1394922,451.1807226
209,430.9232263,399.0902642,420.4877427
210,440.0522014,420.4043658,379.5996183
211,453.1156758,405.2275828,409.8593455
212,434.9364641,379.2180297,458.2751847
213,425.0703635,382.0103552,432.9763943
214,436.5668674,384.9029519,409.5425888
215,435.2943749,381.9688733,423.7848929
216,493.4024973,428.1012939,449.417311
217,459.4959111,390.2008777,411.9055152
218,503.9355141,431.9263445,454.9797785
219,379.2676782,363.4711476,402.0976775
220,422.9328312,372.646162,389.1323708
221,410.0748224,355.7324086,401.9956944
222,492.7807659,431.7262126,453.8542094
223,434.9770254,381.3865417,411.6288762
224,447.1593934,406.2369014,453.4399727
225,449.2763047,397.9744176,435.9833324
226,422.1039338,373.542118,404.9387942
227,419.7876762,368.4977143,388.0188727
228,428.6015408,401.9967149,401.222705
229,430.118156,372.9319494,443.609006
230,403.6784219,375.3677173,376.9224908
231,407.9187137,365.5430854,372.2751607
232,387.8811565,376.9842421,368.9105513
233,445.9666014,395.6134886,418.5130315
234,401.4800453,346.2154165,395.6231334
235,373.1294726,366.4260376,382.8514912
236,415.1461489,369.1206216,421.2071153
237,393.8318881,364.9336741,385.3269284
238,488.6342256,434.0178241,450.6821033
239,469.5029482,410.7420717,418.7618777
240,421.8508785,378.3546694,417.7192236
