0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6982823966.167534,5587843758.050983,6525164555.272185,6696674494.173757,6524209790.176207,5727986383.894148,5134220902.586302,6337931082.059152,6350663810.318965,5649607041.028242,5668685464.487465,6083473853.1248255,6825063795.160197,5132114570.802865,5605032960.9070425
6290289357.1715555,5779189047.0302105,6465534393.823282,5552346512.736205,5885824319.481237,5609299598.105359,6953548833.098532,6709270190.759206,6104899278.668782,5370697882.333352,5260272031.937914,5758960856.448474,5811589442.674084,6160013235.166619,6971298426.852703
5732144378.701527,5639250407.822984,5394707276.762547,6459226941.146775,6260423427.203457,6194380862.303251,5212454955.570622,5817669149.31585,5339982581.98317,5028506855.394349,5408032670.44948,6252105860.099709,6038686309.84762,5650270459.155375,6700340358.714179
6667203414.908359,6744695673.286475,6632092601.488358,6139478323.864962,6295431097.6788,6926817927.829043,6175329221.115347,5487309633.549315,6187764273.267195,5472910368.90327,6131270860.057069,6737356399.203645,6350750679.689328,5837666469.354231,6340018678.262855
6816225661.942828,5005103488.537369,6340602951.173592,6926836606.83352,6597430895.868354,6261954072.780292,6673830888.76638,6930496401.377616,6441004046.608292,6194108304.902414,5926083014.459504,5425426888.940365,6683117045.758013,5292352261.40484,5446990588.201819
6383612199.182966,6646428708.150015,5588299314.178881,5289077607.907935,6433339398.3040285,6552400460.1973,6971938741.231812,5488541628.591225,6112696189.485949,5441650097.775351,5265064356.68276,6967656328.590085,6716008027.054333,5240334903.809694,6161738724.067871
5245898353.292078,5729216481.336669,5308307081.520398,6785621446.991048,5942760479.335851,6660388393.072332,5859697056.569664,5935732691.977629,5191310589.442949,6824870531.629612,6582544465.2258415,6643276107.897221,5356595801.423736,6167767507.768309,5647829194.1131735
6443395525.147704,5204278055.490332,6735984354.403913,6941911113.133544,6968463507.813164,5084151532.707096,5557269870.517657,6779053455.79202,5816565618.744864,5682231212.218461,5470354834.398106,5217220623.7122135,6222429347.715527,5714555663.38039,5442562962.3044195
6626269539.258587,5114791896.563618,6430321702.48234,6485965858.932017,5341711055.367207,5542529809.712484,5013130240.102515,6567602037.515583,6893729773.0025835,6429409360.474379,5260139175.6092415,6211950284.487777,6361622125.675929,6849606071.103647,6199846700.867227
5470464523.448407,5381777348.187737,6660068546.764773,5148804666.54107,6396915381.787113,6143247158.681169,5634110017.904916,5410286024.988932,5501781723.075017,6680969622.647115,6876508589.709441,6346289939.596883,5310582091.868404,6583154204.996662,6082320906.437621
5899759244.899,5281366739.809719,6132273730.0963955,6310067766.985741,6143778269.271248,5417451263.011177,6047220163.034016,5864691003.651123,6181842808.408562,5326783097.07201,6200564523.921507,6854686160.2152,6799223128.378873,5216288910.606232,5366062134.8037195
5840328986.521015,6111516800.909493,6884151073.967094,5983950150.440705,6703415058.575244,6706373067.3029585,5642012662.331673,6394098413.187465,5688720369.413795,5361244978.172348,6405060871.993643,6207658078.649787,5841229255.737971,5267498804.831795,5733877313.570144
5304786173.625178,6331616065.061982,5542939876.28723,5867543583.450456,5863322506.578656,6111598228.83187,6425788141.668942,6358906853.936586,5606525473.081936,6249821274.871202,5814695195.653819,5582565960.284679,5450663006.629547,5527657679.773876,6747049667.3536825
5958107064.040889,6797733795.063325,6031069770.118359,5296982981.3766985,5968068825.306957,6211844041.526863,5713177343.291364,5436730041.374569,5483891468.81055,6075527590.728248,5750576744.581312,5886679442.612155,6503091716.470803,5814614199.803115,5761518700.697297
5241614185.601955,5932579934.036008,5566910993.5075865,5937507618.283967,6499744959.600795,5829290398.973518,6360073287.261305,6168569568.777741,6579623296.413333,5742083407.529971,6521774999.1450615,5780970640.032582,5960156293.930113,6416394426.194432,5103246474.699228
5922702564.808427,6007866659.54781,5067346183.634532,5067531877.068893,6436935271.374512,6449595836.04026,6216232190.333816,6053964176.720082,5449840591.217088,6749282037.975384,5395342387.600874,6824394615.037635,5923066483.763565,6295521119.196444,5616013810.735206
5730267158.591014,6573067449.395419,5048595014.788809,5334353739.191378,6218290793.219477,6322447147.566819,5864142282.217006,5044093771.194862,6853054062.8319025,6252018841.258172,5155797078.805794,5578779421.771138,5336647930.642884,6895997824.613559,5470587578.547353
6395206254.051983,5248543516.884408,6867491394.768752,6905423420.226123,6559305876.490191,6039910634.9327135,6841582095.503593,5482819521.802733,5703903530.687165,6622988868.819259,5371697950.71028,5618283734.688581,6286298490.679731,6130060905.726536,5918010869.523782
5887136324.196975,6759250542.098918,6440918763.570117,6793393532.555934,5051663608.02143,6746987712.419128,5808943299.429613,5634534857.645659,6161714711.550492,5700156702.129674,5402548385.360939,6827915704.623882,5272306331.108117,6770634896.077211,6611603232.275953
5798005136.8436,5976292742.833395,5278706322.38939,6611519225.219619,5126071097.022585,6659504586.522637,6703366218.213307,5534423560.758335,6349737079.834314,5442337720.31108,6641731230.969652,6055033776.122329,5744173222.21325,5095355824.559251,5324723557.021453
