0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
225563973.054359,244513786.8398115,233212082.50297856,252928443.1556171,221048956.97592238,235413723.17041293,224865910.11049572,205241582.57520214,286633948.52454454,257886146.16341835,265066829.74565682,295823036.686911,281497449.3856932,271530148.99655664,206816155.6100418
214249511.26281875,281325186.165505,212822344.27048817,250036624.25814524,215808290.99459812,267512222.11806223,245417852.73634943,223558755.79431826,205844877.0887984,288794279.4694919,204537563.915125,201501303.15881786,251471299.15356055,209540040.32982475,238303594.81117064
242731421.0242058,208871325.23858157,283131546.0365754,207099684.11403352,230617271.87831265,252776717.46476755,280287039.6090526,251597150.85927746,299536420.69038874,217446990.227479,245943653.13517225,292885758.8860399,248596971.65081158,262810681.9614289,239021639.47444522
286035551.8820157,245462999.74429885,200500492.57713133,269086802.98516816,221732727.3586661,264529418.33005005,267266542.82810163,257537567.0836645,287535043.9743045,221823781.42535043,251553547.93860516,206423076.9250544,261694418.11441562,260840556.90355664,299598015.735335
227958132.91279563,261202405.6404188,243396756.28575912,247192868.59991464,271394529.92390066,280655975.7411292,203304879.35080913,295655022.55431694,273003087.0501714,266763055.73602325,212142669.70999062,281340537.6844327,268475119.88451725,296359637.61629164,275813415.23706394
250673813.34263912,253278508.338731,238285350.73561516,282410053.6565683,231917896.74727184,283166189.2458364,207787977.9332994,297011227.2517494,263015497.57606435,270136764.3834616,263249201.6264484,279315232.35038173,209707389.52269432,281056117.3569509,263160763.99777898
202307631.32810977,234555621.07732013,271114969.4143221,261770747.72131535,243980852.01735666,289531694.92650044,248859421.06436723,281632028.9339497,265985575.7246258,262903472.16917628,220547253.34269518,207207188.81950545,283894270.80376303,263086812.36872396,240734332.17178425
220563651.63655248,210293608.1322169,277527785.0486309,262095626.0962255,201436604.76160008,258446426.53403547,267467445.62773487,281581020.9064361,217323894.92738387,274672201.014442,260230406.43633485,293038063.48445415,257807618.72716233,272973465.8575826,294430910.7668248
210785427.27585462,286953116.49989253,275726632.00647664,298335909.17398584,291964678.78216106,251636087.12414086,219105910.64694795,238112229.43289474,271109367.87219274,249131584.96821523,295353568.81228465,295736750.28824586,239998241.51845726,293569696.7360442,252770362.14081824
227623569.62261015,208110254.96041545,213342059.3792347,212881539.40972558,210950486.302664,204258794.87236723,252663258.47364432,247268395.14225465,295114753.3256209,208503828.12016737,260479013.41542983,217757297.12882885,231524053.5003547,241190496.45336482,258857204.11381966
222229631.2645029,261531803.64844558,233834194.3606701,264512662.17212734,285452552.1547146,246411565.37626883,238377560.6500591,218529309.58213225,230322330.71445304,251372762.2568168,248289158.78821152,202855723.07231003,232157516.40030864,225717417.46641195,200628068.59698367
246362665.4245987,256793192.4887887,289748125.8486863,244369101.36903015,288072752.295093,245254167.98026165,264776975.87678838,289109603.2946979,219107083.66456962,223575012.4955358,286418070.0409997,214374312.4855364,246475795.83071762,203139510.94280124,261373929.282
