0,1,2,3,4,5,6,7,8,9
5686723813.529018,5085526262.023608,6553502424.722598,5905373171.617711,6180853535.719152,5054187708.552144,6069206156.348916,6438710211.214499,5122672025.241148,5316272357.954644
6831900258.212918,6759361026.316232,5656078047.003946,5592671416.562155,5432268254.8173,6175611584.051904,5310753202.95402,5479980264.729075,6708241498.764155,6768437053.470303
6130179901.350466,5009203230.690172,5537909879.9061365,5691536726.776414,5912135733.132917,6344991668.528272,5793156165.8762045,5595400798.083216,6928365938.860862,5882379898.857033
5604280229.453434,6015842261.759658,5515551222.460211,6755010814.393649,6228154350.621962,5864551472.16819,5837487705.1837015,5836365580.260078,5719419778.593227,6095930925.851885
6421869464.929582,5753835333.987803,6415251229.2704935,5766370010.989199,6287184859.809975,5070749451.520964,5374703310.774386,6059045955.518824,5526908546.744064,6738347097.9280205
6586147337.767399,6654808966.438941,6106810908.840584,5532331930.318803,5295710175.526039,6555387527.513492,6163585154.818354,6620276426.077714,6863891250.371678,5018867788.475477
6540745134.051132,6608554761.210291,6372246499.198594,5689649871.873627,6938777448.272599,6570051371.277423,6386639098.853021,5511934785.1798115,5298576986.354398,6030191748.25611
5251103346.315569,5252969981.039061,6994745642.362292,6168333625.711697,5433953686.40671,5225085508.612174,6108217502.868702,6473485219.435369,5091490555.282899,6658801862.812271
6132352444.549756,6040009898.508981,6163644793.39596,6249380221.580052,6849209902.032023,6635109644.784459,6198991937.559557,5942882506.077868,5874479283.937282,6820462089.954088
5637943450.318312,5060116351.269906,5916969329.813147,5237532775.467981,5918560284.623975,6191620423.420814,6016526716.235012,5013943335.939939,6722085664.945454,5724421559.448582
5605238401.366923,6688997724.674517,6335652357.451243,6769630244.849712,5075140798.8452015,6367162394.278953,5380200863.190218,6862891832.431126,6578798796.212747,5473710310.743452
6593783909.139265,5274629652.17057,5317529438.472335,6776083156.174167,5463158256.903937,5381486046.984835,5674221552.849274,6437232995.020082,5090764920.930141,5756637408.822888
6880379212.543878,5916433838.826184,6537908189.060274,5871858451.977848,6632893556.063764,5906134571.524559,5243955641.639194,6283370887.728721,5877074566.343417,5919086414.687172
